Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
BOB ODENKIRK SKETCH SHOW FOR FOX,1.0,1.0,,1.0
CAPITALISM ! !,1.0,1.0,,1.0
CRASH LANDING ON YOU,1.0,1.0,1.0,1.0
DAILY LIFE OF MY CHILDHOOD FRIEND,1.0,1.0,,1.0
DAVID CROSS,1.0,1.0,,1.0
DEFINITELY DRESS UP DARLING,1.0,1.0,,1.0
DIRECTORS WHO SHINE IN SPITE OF THE ANIME INDUSTRY,1.0,1.0,,1.0
DOOM SLAYER,1.0,1.0,,1.0
EREN YEAGER HAPPY BIRTHDAY VISUAL,1.0,1.0,,1.0
EVEN MY HERO ACADEMIA,1.0,1.0,,1.0
FAITHFUL VIRGIN BITCH,1.0,1.0,,1.0
GODDESS OF LOVE AND BEAUTY,1.0,1.0,,1.0
GOOD MOVE ?,1.0,1.0,,1.0
GREEN CASTLE,1.0,1.0,,1.0
HAPPY BIRTHDAY AI HAYASAKA ILLUSTRATION,1.0,1.0,,1.0
HAPPY BIRTHDAY GOJO WAKANA ILLUSTRATION,1.0,1.0,,1.0
HAPPY BIRTHDAY SUMI,1.0,1.0,,1.0
HAPPY BIRTHDAY YUJI,1.0,1.0,,1.0
HERE WE COME !,1.0,1.0,,1.0
HIGHEST GROSSING ANIME FILM OF ALL TIME AROUND THE WORLD,1.0,1.0,,1.0
HOKKAIDO GALS ARE SUPER ADORABLE !,1.0,1.0,,1.0
HONEY TRAP SHARED HOUSE VOLUME 1 COVER,1.0,1.0,,1.0
HOUSE MISTRESS,1.0,1.0,,1.0
HOW HEAVY ARE THE DUMBBELLS YOU LIFT ?,1.0,1.0,,1.0
HOW LONG DO WE CONTINUE BEING MAGICAL GIRLS,1.0,1.0,,1.0
I FEEL BAD !,1.0,1.0,,1.0
I LOVE YOU !,1.0,1.0,,1.0
I LOVED ROUGH SKETCH SENPAI,1.0,1.0,,1.0
I REMEMBER STARTING SOUL EATER,1.0,1.0,,1.0
I WANT TO END THE I LOVE YOU GAME,1.0,1.0,,1.0
IN THE LAND,1.0,1.0,,1.0
JUST SEARCH 4 - KOMA,1.0,1.0,,1.0
KINGDOM S43,1.0,1.0,,1.0
KINGDOM S47,1.0,1.0,,1.0
KINGDOM S48,1.0,1.0,,1.0
LAUNCH TIME : APRIL 6,1.0,1.0,,1.0
LAUNCH TIME : APRIL 8,1.0,1.0,,1.0
LAUNCH TIME : APRIL 9,1.0,1.0,,1.0
LEGEND OF MANA : THE TEARDROP CRYSTAL ANIME,1.0,1.0,,1.0
LITTLE CARELESS VOLUME 3 COVER,1.0,1.0,,1.0
LITTLE MIKHAIL,1.0,1.0,,1.0
LITTLE WITCH ACADEMIA,1.0,1.0,,1.0
LOVE AFTER WORLD DOMINATION5,1.0,1.0,,1.0
LOVE AFTER WORLD DOMINATION6,1.0,1.0,,1.0
LOVE ALARM,1.0,1.0,1.0,1.0
LOVE ALL PLAY ANIME,1.0,1.0,,1.0
LOVE LIVE ! SUPERSTAR ! !,1.0,1.0,,1.0
MAKE THE EXORCIST FALL IN LOVE,1.0,1.0,,1.0
MAKING THE NATURE SCENE,1.0,1.0,,1.0
MOTHER NATURE,1.0,1.0,,1.0
MOTHER VS SON DUEL,1.0,1.0,,1.0
MOVE TO HEAVEN OR TAXI DRIVER,1.0,1.0,,1.0
MY DRESS - UP DARLING MANGA SELLS 2 MILLION COPIES,1.0,1.0,,1.0
MY DRESS UP DARLING6,1.0,1.0,,1.0
MY NEXT LIFE AS A VILLAINESS : ALL ROUTES LEAD TO DOOM !,1.0,1.0,,1.0
MY ONLY LOVE SONG,1.0,1.0,,1.0
MY SON HAS BEEN REINCARNATED INTO ANOTHER WORLD,1.0,1.0,,1.0
NEXT COMIKET,1.0,1.0,,1.0
NICE MOVE TSUKASA,1.0,1.0,,1.0
NOW MAIN,1.0,1.0,,1.0
ONE PIECE : HIGH SCHOOL !,1.0,1.0,,1.0
ONE PUNCH MAN*,1.0,1.0,,1.0
PLEASE DO NOT FORGET ME -,1.0,1.0,,1.0
PLEASE WASH YOUR HOODIE,1.0,1.0,,1.0
PRESS START,1.0,1.0,,1.0
QUEENS AT HEART,1.0,1.0,,1.0
REMEMBER SING MY PLEASURE,1.0,1.0,,1.0
REMEMBERING THE OLD DAYS,1.0,1.0,,1.0
S-RANK HEALER,1.0,1.0,,1.0
SENIOR FORECASTER UMM : NOW I,1.0,1.0,,1.0
SHAMIKO ACTUALLY WANTED TO DUEL MOMO,1.0,1.0,,1.0
SILVER CASTLE,1.0,1.0,,1.0
SILVER JUBILEE,1.0,1.0,,1.0
SKETCH OF YASUDA,1.0,1.0,,1.0
THE ANGEL NEXT DOOR SPOILS ME ROTTEN NEW VISUAL,1.0,1.0,,1.0
THE COMPLETE AND UTTER HISTORY OF BRITAIN,1.0,1.0,,1.0
THE CONCLUSION OF THE END,1.0,1.0,,1.0
THE EPIC THAT NEVER WAS,1.0,1.0,,1.0
THE GIANT CROSS,1.0,1.0,,1.0
THE GIRL HAS A LOVE FOR ALL THINGS RED,1.0,1.0,,1.0
THE INCREDIBLE ADVENTURE,1.0,1.0,,1.0
THE MOST IMPORTANT MAP OF KOREA,1.0,1.0,,1.0
THE STRONGEST SAGE GOES ON A JOURNEY AGAIN,1.0,1.0,,1.0
THE WITCH CONTROLS HER AGE AND MAGIC WITH A KISS VOLUME 4 COVER,1.0,1.0,,1.0
THEN VS NOW AND YOUR TAKE,1.0,1.0,,1.0
THESE SQUID GAME TRIO,1.0,1.0,,1.0
THINK PRICONNE,1.0,1.0,,1.0
THOUSAND YEAR BLOOD WAR,1.0,1.0,,1.0
THREE - TWO - THREE FLOWER BROS,1.0,1.0,,1.0
TOHKA YATOGAMI BIRTHDAY ILLUSTRATION,1.0,1.0,,1.0
TRUE BEAUTY,1.0,1.0,,1.0
TWENTY - FIVE TWENTY - ONE AND THE RED SLEEVE,1.0,1.0,,1.0
UNALTERABLE PAST AND A FADING FUTURE,1.0,1.0,,1.0
VILLAINOUS DAUGHTER AIMS FOR THE LAST BOSS ANIME VISUAL,1.0,1.0,,1.0
VILLAINOUS DAUGHTER AIMS FOR THE LAST BOSS PV,1.0,1.0,,1.0
WELCOME BACK !,1.0,1.0,,1.0
WHY WHY,1.0,1.0,,1.0
YOU LIKE ME,1.0,1.0,,1.0
- BLEACH,1.0,0.0,,inf
- DID N'T I SAY TO MAKE MY ABILITIES AVERAGE IN THE NEXT LIFE,1.0,0.0,,inf
- DIVE INTO YOU,1.0,0.0,,inf
- KONO HEALER,1.0,0.0,,inf
- MACROSS FRONTIER,1.0,0.0,,inf
- NOW MOCHIZUKI,1.0,0.0,,inf
- OREIMO : MY LITTLE SISTER CAN'T BE THIS CUTE - NOUCOME : MY MENTAL CHOICES ARE COMPLETELY INTERFERING WITH MY SCHOOL ROMANTIC COMEDY - I REINCARNATED INTO AN OTOME GAME AS A VILLAINESS WITH ONLY DEATH FLAGS,1.0,0.0,,inf
- RED LIGHT,1.0,0.0,,inf
