Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
BIRDS OF PREY AND THE SUICIDE SQUAD,1.0,1.0,,1.0
BLACK MERCY,1.0,1.0,,1.0
BLACK SPIDER - MAN,1.0,1.0,,1.0
BOBBLE HEAD CAPTAIN MARVEL,1.0,1.0,,1.0
BUT THE ANT - MAN,1.0,1.0,,1.0
BUT THE ROGER CORMAN FANTASTIC FOUR,1.0,1.0,,1.0
CAPTAIN AMERICA : CIVIL WAR : 2,1.0,1.0,,1.0
CAPTAIN AMERICA : THE FIRST AVENGER : 2,1.0,1.0,,1.0
CAPTAIN CARTER REPRESENTS THE GUARDIANS OF THE MULTIVERSE,1.0,1.0,,1.0
CAPTAIN MARVEL IN THE MARVELS,1.0,1.0,,1.0
CAPTAIN STACY,1.0,1.0,,1.0
DOCTOR STRANGE : ASTRONOMY DOMINE,1.0,1.0,,1.0
DURING THE DARK PHOENIX,1.0,1.0,,1.0
ETERNALS : 2,1.0,1.0,,1.0
ETERNALS OVER THE BLACK WIDOW,1.0,1.0,,1.0
EVEN OLD MAN LOGAN,1.0,1.0,,1.0
FANTASTIC FLOP,1.0,1.0,,1.0
FANTASTIC FOUR : RISE OF THE SILVER SURFER10,1.0,1.0,,1.0
FANTASTIC FOUR EXTENDED CUT,1.0,1.0,,1.0
FLASH AND KID FLASH,1.0,1.0,,1.0
GAR LOGAN,1.0,1.0,,1.0
GOLDEN AGE SUPERMAN,1.0,1.0,,1.0
HELLBOY,1.0,1.0,,1.0
IRON MAN ... VENOM,1.0,1.0,,1.0
IRON MAN 3 : ENTER THE MANDARIN,1.0,1.0,,1.0
IRON MAN : BACK IN BLACK,1.0,1.0,,1.0
IRON MEN OR THE SUPER SOLDIERS,1.0,1.0,,1.0
LESS DOCTOR STRANGE,1.0,1.0,,1.0
LIKE TO SEE THE EXPANDED DEFENDERS ROSTER FROM THE COMICS,1.0,1.0,,1.0
MASTERS OF THE MYSTIC ARTS,1.0,1.0,,1.0
MILO MORBIUS,1.0,1.0,,1.0
MORBIUS 2,1.0,1.0,,1.0
MORBIUS : DAWN,1.0,1.0,,1.0
MR. INCREDIBLE -,1.0,1.0,,1.0
MS. MARVEL STAR IMAN VELLANI IS AS MUCH OF A FANGIRL AS KAMALA KHAN,1.0,1.0,,1.0
MULTIVERSE MAESTRO MICHAEL WALDRON ON LOKI AND DOCTOR STRANGE 2,1.0,1.0,,1.0
NO DARK PHOENIX,1.0,1.0,,1.0
OH DOCTOR STRANGE,1.0,1.0,,1.0
ON WAR DEFENSE : LOWER CRIT CHANCE,1.0,1.0,,1.0
REVERSE FLASH IN THE FLASH,1.0,1.0,,1.0
ROBOCOP,1.0,1.0,,1.0
ROGUE IN CAPTAIN MARVEL,1.0,1.0,,1.0
SERIES SNAKE EYES ACTION FIGURE 02 COLLECTIBLE PREMIUM TOY,1.0,1.0,,1.0
SHANG - CHI 2 OR THE SHANG - CHI D,1.0,1.0,,1.0
SHANG - CHI 4 : THE BAKERS DOZEN ORDER OF THE RINGS,1.0,1.0,,1.0
SOME OF THE CAPTAIN MARVEL,1.0,1.0,,1.0
SUICIDE SQUAD OR THE BATMAN,1.0,1.0,,1.0
SUPER HERO SQUAD,1.0,1.0,,1.0
SURE BATMAN,1.0,1.0,,1.0
THANOS IS RETURNING TO KILL CAPTAIN MARVEL,1.0,1.0,,1.0
THE AMAZING SPIDER - MAN 06,1.0,1.0,,1.0
THE AMAZING SPIDER - MAN 2I,1.0,1.0,,1.0
THE EZRA MILLER FLASH MOVIE PREQUEL,1.0,1.0,,1.0
THE FANTASTIC FOUR AND THE X - MEN,1.0,1.0,,1.0
THE KID FLASH,1.0,1.0,,1.0
THE MARVELS WITH CAPTAIN MARVEL,1.0,1.0,,1.0
THE NEW 52 FLASH,1.0,1.0,,1.0
THE POWER OF THE DOG,1.0,1.0,,1.0
THE SUICIDE SQUAD 3,1.0,1.0,,1.0
THE TRIAL OF THE FLASH,1.0,1.0,,1.0
THOR 1 THOR AND THOR RAGNORAK THOR,1.0,1.0,,1.0
THOR : THE DARK WORLD AND THE INCREDIBLE HULK,1.0,1.0,,1.0
THOR AND CAPTAIN MARVELS,1.0,1.0,,1.0
THOR ARRIVAL,1.0,1.0,,1.0
THOR IN RETURN OF THE INCREDIBLE HULK,1.0,1.0,,1.0
THOR IN THE DOCTOR STRANGE,1.0,1.0,,1.0
THOR VISITING DOCTOR STRANGE,1.0,1.0,,1.0
TURN TURN TURN,1.0,1.0,,1.0
VENOM 1 AND MORBIUS,1.0,1.0,,1.0
VENOM IS VENOM,1.0,1.0,,1.0
WHICH BLUE LANTERN,1.0,1.0,,1.0
WONDER - MAN,1.0,1.0,,1.0
WONDER WOMAN 1,1.0,1.0,,1.0
WONDER WOMAN HISTORIA,1.0,1.0,,1.0
X- MEN : DAYS OF FUTURE PAST ROGUE CUT,1.0,1.0,,1.0
X- MEN ACTOR ADDRESSES POTENTIAL RETURN IN DOCTOR STRANGE 2,1.0,1.0,,1.0
X- MEN DARK PHOENIX,1.0,1.0,,1.0
X- MEN WOLVERINE MASH,1.0,1.0,,1.0
X2 : X - MEN,1.0,1.0,,1.0
YES CAPTAIN MARVEL,1.0,1.0,,1.0
YET BATMAN,1.0,1.0,,1.0
ANT - MAN 3 WO N'T BRING BACK DAVID DASTMALCHIAN,1.0,0.0,,inf
AQUAMAN / THE FLASH,1.0,0.0,,inf
AVENGERS : ENDGAME : 3,1.0,0.0,,inf
BATMAN : THE ANIMATED SERIES** SUPERMAN : THE ANIMATED SERIES ** JUSTICE LEAGUE** JUSTICE LEAGUE UNLIMITED ** BATMAN : BEYOND ** BATMAN BEYOND : RETURN OF THE JOKER,1.0,0.0,,inf
BLACK GLOVE * BATMAN R.I.P.** YEAR FOURTEEN,1.0,0.0,,inf
CAPTAIN AMERICA : THE DARK AVENGERS - SHANG - CHI,1.0,0.0,,inf
DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS - MS. MARVEL,1.0,0.0,,inf
"ETERNALS , THE ETERNALS",1.0,0.0,,inf
ETERNALS BETTER SHANG - CHI,1.0,0.0,,inf
