Entity,CRF_Model_Found,Exact_CRF,Exact_Whitelist,CRF_Recall
MOTO G9,,,1.0,
MOTOROLA EDGE,,,5.0,
MOTOROLA EDGE 20,,,3.0,
NEXUS 5,,,1.0,
NOKIA XR20,,,3.0,
NOTE 10,,,30.0,
NOTE 9,,,3.0,
ONEPLUS 7,,,4.0,
OPHONE,,,3.0,
OPPO FIND X,,,2.0,
OPPO RENO,,,5.0,
P1,,,1.0,
PHABLET,,,1.0,
POCO X3,,,4.0,
PRO,,,1057.0,
RAZER PHONE,,,3.0,
REDMI,,,15.0,
REX,,,1.0,
ROG PHONE,,,7.0,
ROG PHONE 5,,,5.0,
RUGGED SMARTPHONE,,,1.0,
S10,,,106.0,
S21,,,182.0,
S9,,,8.0,
SAMSUNG GALAXY A53 5G,,,3.0,
SAMSUNG GALAXY A73 5G,,,1.0,
SAMSUNG GALAXY M51,,,1.0,
SAMSUNG GALAXY S20,,,1.0,
SAMSUNG GALAXY S21,,,1.0,
SMARTPHONE,,,49.0,
SONY XPERIA,,,23.0,
SONY XPERIA 1,,,7.0,
SONY XPERIA 1 II,,,3.0,
SONY XPERIA 1 III,,,3.0,
SONY XPERIA 10 II,,,4.0,
SONY XPERIA 10 III,,,4.0,
SONY XPERIA 5,,,11.0,
SONY XPERIA 5 II,,,10.0,
SONY XPERIA 5 III,,,7.0,
SONY XPERIA PRO,,,1.0,
SONY XPERIA PRO-I,,,1.0,
SONY XPERIA X,,,4.0,
SONY XPERIA XZ,,,4.0,
SONY XPERIA XZ1,,,2.0,
SONY XPERIA XZ1 COMPACT,,,2.0,
SONY XPERIA XZ2,,,2.0,
SONY XPERIA XZ2 COMPACT,,,1.0,
SONY XPERIA XZ2 PREMIUM,,,1.0,
SURFACE DUO,,,1.0,
TIZEN,,,4.0,
TVOS,,,1.0,
VIVO X7,,,2.0,
WATCHOS,,,1.0,
WEBOS,,,1.0,
WINDOWS 10 MOBILE,,,4.0,
WINDOWS PHONE,,,8.0,
WINDOWS PHONE 7,,,1.0,
WINDOWS PHONE 8,,,2.0,
WINDOWS PHONE 8.1,,,2.0,
XCOVER FIELDPRO,,,1.0,
XIAOMI MI 1,,,2.0,
XIAOMI MI 11 ULTRA,,,1.0,
Z FOLD 3,,,1.0,
